probe_id,country,asn,samples,rtt_min,rtt_median,rtt_p95,jitter_iqr,loss_pct,distance_km,min_rtt_ms,inflation
7749,RU,212183,221,120.33,124.5,126.16,0.22,78.12,435.2,4.36,27.63
7453,AM,51225,1080,115.64,120.18,128.18,9.82,0.0,443.7,4.44,26.04
7778,GE,49628,1062,113.54,123.63,124.55,0.21,1.39,613.5,6.14,18.49
6582,IR,48715,1038,109.93,113.15,116.84,0.47,0.0,660.4,6.61,16.63
7665,LB,399728,1051,134.1,136.07,156.25,9.39,1.31,807.5,8.08,16.59
6933,RU,207423,1080,132.95,137.11,138.07,0.59,0.0,807.1,8.08,16.46
7644,IR,39650,1008,103.48,108.58,112.51,0.56,0.0,661.1,6.62,15.64
7027,IR,59441,1052,104.39,114.83,176.08,1.72,1.03,669.8,6.7,15.57
7198,AE,31713,1074,242.79,247.25,247.79,0.15,0.0,1640.7,16.42,14.79
6664,IL,202422,1071,138.8,140.32,141.33,0.4,0.09,959.7,9.6,14.45
6505,GE,16010,1077,84.37,89.43,91.37,0.62,0.0,612.6,6.13,13.76
6994,AE,57187,1077,189.5,193.72,194.72,0.24,0.0,1640.0,16.41,11.55
6392,AE,42473,1077,187.17,191.4,193.37,0.29,0.0,1640.1,16.41,11.4
6962,AE,15802,1076,185.39,189.63,190.51,0.12,0.0,1640.0,16.41,11.3
6616,SA,47794,1074,144.54,144.83,145.6,0.23,0.28,1302.5,13.03,11.09
7009,SA,208520,1074,141.15,142.54,143.24,0.23,0.0,1304.9,13.06,10.81
7047,AE,15412,1076,176.92,181.04,182.68,0.17,0.0,1639.8,16.41,10.78
7420,AE,215024,1063,170.33,177.83,178.76,0.15,0.47,1635.6,16.37,10.41
6747,KZ,48503,1080,140.76,144.93,145.8,0.14,0.0,1373.9,13.75,10.24
7278,AF,138322,1076,213.98,220.12,228.59,0.83,0.0,2286.8,22.88,9.35
6944,AE,16552,1074,156.96,186.02,272.46,7.54,0.0,1704.6,17.06,9.2
6431,SA,50999,1080,147.88,148.07,148.39,0.16,0.0,1619.5,16.21,9.12
6798,AE,36236,1080,136.42,136.74,165.35,0.23,0.0,1627.7,16.29,8.38
6619,UA,12773,1077,115.16,118.75,119.48,0.97,0.0,1402.5,14.03,8.21
6756,KZ,48503,1080,163.76,166.78,170.64,0.22,0.0,2043.8,20.45,8.01
7375,IN,138800,1051,223.15,223.92,233.04,7.41,1.22,2791.6,27.94,7.99
6508,IR,58224,1071,111.7,119.74,193.71,1.43,0.37,1398.2,13.99,7.98
7638,TJ,51346,1065,172.69,187.54,284.95,13.55,0.75,2197.4,21.99,7.85
6754,KZ,48503,1077,136.28,143.39,147.34,2.61,0.28,1765.9,17.67,7.71
7123,UA,202619,1077,109.23,114.47,121.6,1.0,0.0,1423.7,14.25,7.67
7710,TR,48678,1077,103.99,108.15,109.87,0.13,0.0,1379.0,13.8,7.54
7684,KZ,197556,1077,140.4,143.51,152.98,0.41,0.0,1884.4,18.86,7.45
7425,TJ,204106,1070,160.27,178.96,184.46,5.92,0.0,2199.1,22.01,7.28
6759,KZ,48503,1077,166.81,167.67,169.52,0.5,0.0,2294.1,22.96,7.27
7736,KZ,21299,1074,137.09,140.68,142.97,0.53,0.0,1885.6,18.87,7.27
6997,TR,202536,736,96.82,101.21,102.72,0.3,26.62,1333.9,13.35,7.25
6746,KZ,48503,1077,133.83,139.51,142.62,3.37,0.0,1886.1,18.87,7.09
7764,PK,17557,265,200.78,205.36,215.75,2.56,75.3,2844.9,28.47,7.05
7777,GR,15544,1080,122.86,124.65,126.53,1.76,0.0,1792.8,17.94,6.85
7613,PK,152605,1072,194.14,207.87,215.31,1.47,0.0,2837.0,28.39,6.84
7737,KZ,21299,1080,128.95,131.92,136.07,0.17,0.0,1884.4,18.86,6.84
7658,KZ,21299,1074,114.18,117.85,122.15,0.31,0.0,1768.4,17.7,6.45
7744,KZ,197556,1061,144.44,148.35,223.07,1.1,0.66,2293.3,22.95,6.29
6930,UA,42905,1074,99.11,99.84,100.73,0.2,0.0,1584.8,15.86,6.25
6829,UA,3326,1074,96.1,100.33,101.13,0.23,0.0,1543.9,15.45,6.22
6752,KZ,48503,1080,151.12,156.13,163.39,2.08,0.0,2447.7,24.49,6.17
6953,IN,16552,1074,198.0,201.89,218.45,3.06,0.0,3218.2,32.2,6.15
6954,IN,16552,1074,207.63,216.9,217.36,0.13,0.0,3402.3,34.05,6.1
6755,KZ,48503,1077,165.75,169.2,169.59,0.16,0.0,2776.1,27.78,5.97
7126,TH,137566,1074,370.7,371.6,373.95,0.83,0.0,6215.4,62.2,5.96
7369,KE,328977,1069,247.41,250.3,251.12,0.16,0.0,4240.6,42.43,5.83
6380,GH,30997,1080,326.79,327.5,328.7,0.35,0.0,5639.3,56.43,5.79
6745,KZ,48503,1080,158.12,161.73,164.89,0.66,0.0,2732.1,27.34,5.78
6414,UA,3236,1074,89.45,93.62,94.5,0.16,0.0,1553.7,15.55,5.75
7342,KG,61399,1071,155.63,161.7,192.58,2.16,0.46,2707.8,27.1,5.74
7294,TR,208972,1080,59.09,62.03,62.56,0.1,0.0,1039.2,10.4,5.68
6358,UG,328998,1076,233.42,233.74,234.33,0.2,0.0,4165.3,41.68,5.6
6730,KZ,48503,1077,160.94,166.91,169.78,4.44,0.0,2897.1,28.99,5.55
7670,NP,153566,1065,220.14,225.39,239.99,5.01,1.11,3980.0,39.83,5.53
7636,KZ,21299,1077,159.23,162.19,166.03,0.29,0.0,2902.9,29.05,5.48
6583,RU,20764,1080,121.65,121.8,122.03,0.15,0.0,2224.3,22.26,5.47
