Peer Name,IPv4,ASN,IPv6,Capacity,Port Location
3C1B Telekom,185.1.48.69,6823,2001:7f8:3f::1aa7:0:1,10G,
ACE CDN,185.1.48.37,139341,2001:7f8:3f:0:2:46b:0:1,100G,
Akamai Technologies,185.1.48.74,20940,2001:7f8:3f::51cc:0:3,100G,
Akamai Technologies,185.1.48.28,20940,2001:7f8:3f::51cc:0:1,200G,
Atlantis Telekomünikasyon bil. hizm. san.tic.ltd.şti.,185.1.48.15,204457,,20G,
BGP.Tools Route Collector,185.1.48.42,212232,2001:7f8:3f:0:3:3d08:0:1,100M,
Brnchost Bilisim Teknolojileri,185.1.48.66,214803,,100G,
"CDS Global Cloud Co., LTD",185.1.48.31,63199,2001:7f8:3f::f6df:0:1,10G,
Cloudflare,185.1.48.22,13335,2001:7f8:3f::3417:0:1,100G,
Datacasa Datacenter - Istanbul / Turkey,185.1.48.43,60446,2001:7f8:3f::ec1e:0:1,10G,
DE-CIX Istanbul Route Servers,185.1.48.253,20715,2001:7f8:3f::50eb:fd:1,10G,
DE-CIX Istanbul Route Servers,185.1.48.252,20715,2001:7f8:3f::50eb:fc:1,10G,
DE-CIX Monitoring,185.1.48.249,205529,2001:7f8:3f::50eb:f9:1,20G,
DE-CIX R&D Measurement,185.1.48.34,205530,2001:7f8:3f:0:3:22da:0:1,100M,
DE-CIX Services,185.1.48.116,51531,2001:7f8:3f::c94b:0:2,1G,
DE-CIX Services,185.1.48.110,51531,2001:7f8:3f::c94b:0:1,1G,
DIL Technology AS210021,185.1.48.30,210021,2001:7f8:3f:0:3:3465:0:1,100G,
DNS-OARC-112,185.1.48.112,112,2001:7f8:3f::70:0:1,10G,
EARTH TELEKOMUNIKASYON,185.1.48.115,41683,2001:7f8:3f::be1f:0:1,100G,
Earthlink Telecommunications DMCC,185.1.48.20,60051,2001:7f8:3f::ea93:0:1,100G,
EdgeUno MEA,185.1.48.40,51095,2001:7f8:3f::1c1b:0:1,20G,
Euronet Telekomunikasyon,185.1.48.70,201178,2001:7f8:3f:0:3:11da:0:1,10G,
FastIraq,185.1.48.54,56484,2001:7f8:3f::dca4:0:1,10G,
FibaCloud,185.1.48.254,44382,2001:7f8:3f::eecf:0:254,100G,
Fink Telecom Services GmbH,185.1.48.48,6775,2001:7f8:3f::1a77:0:1,100G,
Fortinet,185.1.48.65,40934,2001:7f8:3f::9fe6:0:1,10G,
Fraunhofer SIT,185.1.48.1,212795,2001:7f8:3f:0:3:3f3b:0:1,100M,
Gcore,185.1.48.32,199524,2001:7f8:3f:0:3:b64:0:2,100G,
GIBIRNET,185.1.48.47,208972,2001:7f8:3f:0:3:304c:0:1,200G,
HizliNet-as6205,185.1.48.68,6205,2001:7f8:3f::183d:0:1,100G,
Huawei Cloud Global,185.1.48.21,136907,2001:7f8:3f:0:2:16cb:0:2,10G,
Huawei Cloud Global,185.1.48.17,136907,2001:7f8:3f:0:2:16cb:0:1,10G,
Hurricane Electric,185.1.48.16,6939,2001:7f8:3f::1b1b:0:1,100G,
ip-it consult GmbH,185.1.48.10,61438,2001:7f8:3f::effe:0:1,1G,
IP-Max SA,185.1.48.7,25091,2001:7f8:3f::6203:0:1,500M,
Kaopu Cloud HK,185.1.48.18,138915,2001:7f8:3f:0:2:1ea3:0:2,100G,
Kapteyan A.S.,185.1.48.64,60707,2001:7f8:3f::ed23:0:1,100G,
Medianova,185.1.48.39,21245,2001:7f8:3f::52fd:0:2,100G,
Medianova,185.1.48.4,21245,2001:7f8:3f::52fd:0:1,100G,
Meta,185.1.48.45,32934,2001:7f8:3f::80a6:0:2,100G,
Meta,185.1.48.46,32934,2001:7f8:3f::80a6:0:3,100G,
