block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P2,tcp-bbr,W3,50,0,36,348.939,399.059,10240,1
primary,P2,tcp-cubic,W3,50,0,18,465.79,465.855,10240,1
primary,P2,tcp-bbr,W3,50,0,42,322.988,335.632,10240,1
primary,P2,quic,W3,50,0,11,558.477,558.562,10240,1
primary,P2,tcp-bbr,W3,50,0,46,352.261,352.349,10240,1
primary,P2,tcp-bbr,W3,50,0,45,237.191,246.957,10240,1
primary,P2,tcp-cubic,W3,50,0,17,264.919,270.913,10240,1
primary,P2,tcp-cubic,W3,50,0,41,299.415,328.811,10240,1
primary,P2,tcp-cubic,W3,50,0,15,401.133,401.199,10240,1
primary,P2,tcp-bbr,W3,50,0,39,278.437,279.563,10240,1
primary,P2,tcp-cubic,W3,50,0,34,271.272,285.771,10240,1
primary,P2,quic,W3,50,0,8,395.588,395.671,10240,1
primary,P2,tcp-bbr,W3,50,0,8,255.131,293.038,10240,1
primary,P2,tcp-cubic,W3,50,0,8,226.735,235.066,10240,1
primary,P2,tcp-cubic,W3,50,0,36,264.254,265.126,10240,1
primary,P2,tcp-cubic,W3,50,0,28,253.187,286.466,10240,1
primary,P2,tcp-bbr,W3,50,0,31,290.792,291.827,10240,1
primary,P2,quic,W3,50,0,25,501.036,501.896,10240,1
primary,P2,quic,W3,50,0,28,583.753,583.839,10240,1
primary,P2,quic,W3,50,0,34,170.255,170.348,10240,1
primary,P2,tcp-cubic,W3,50,0,3,323.698,334.806,10240,1
primary,P2,tcp-cubic,W3,50,0,13,347.223,384.026,10240,1
primary,P2,tcp-cubic,W3,50,0,25,289.723,301.822,10240,1
primary,P2,quic,W3,50,0,42,371.07,371.15,10240,1
primary,P2,tcp-cubic,W3,50,0,7,309.219,311.188,10240,1
primary,P2,tcp-bbr,W3,50,0,24,271.517,272.403,10240,1
primary,P2,tcp-bbr,W3,50,0,3,261.714,262.793,10240,1
primary,P2,quic,W3,50,0,9,171.703,173.47,10240,1
primary,P2,tcp-bbr,W3,50,0,34,239.021,240.01,10240,1
primary,P2,tcp-cubic,W3,50,0,35,262.69,262.79,10240,1
primary,P2,tcp-cubic,W3,50,0,37,427.41,441.61,10240,1
primary,P2,tcp-bbr,W3,50,0,43,245.148,259.991,10240,1
primary,P2,tcp-cubic,W3,50,0,14,227.55,239.776,10240,1
primary,P2,quic,W3,50,0,3,182.293,182.377,10240,1
primary,P2,quic,W3,50,0,39,311.264,377.964,10240,1
primary,P2,tcp-bbr,W3,50,0,10,253.754,295.756,10240,1
primary,P2,tcp-cubic,W3,50,0,16,233.384,239.859,10240,1
primary,P2,tcp-cubic,W3,50,0,6,374.125,410.5,10240,1
primary,P2,tcp-cubic,W3,50,0,45,260.607,269.382,10240,1
primary,P2,tcp-cubic,W3,50,0,48,335.961,336.026,10240,1
primary,P2,tcp-bbr,W3,50,0,1,351.377,351.451,10240,1
primary,P2,quic,W3,50,0,38,173.718,173.808,10240,1
primary,P2,tcp-cubic,W3,50,0,12,255.228,255.291,10240,1
primary,P2,tcp-bbr,W3,50,0,13,300.927,316.173,10240,1
primary,P2,tcp-bbr,W3,50,0,25,324.407,383.546,10240,1
primary,P2,tcp-cubic,W3,50,0,27,302.868,326.767,10240,1
primary,P2,quic,W3,50,0,48,192.813,194.785,10240,1
primary,P2,tcp-bbr,W3,50,0,28,214.593,220.573,10240,1
primary,P2,tcp-cubic,W3,50,0,26,253.814,256.656,10240,1
primary,P2,tcp-cubic,W3,50,0,46,249.14,249.224,10240,1
primary,P2,tcp-bbr,W3,50,0,14,230.8,242.348,10240,1
primary,P2,tcp-cubic,W3,50,0,21,264.558,266.536,10240,1
primary,P2,tcp-bbr,W3,50,0,5,262.283,276.858,10240,1
primary,P2,tcp-bbr,W3,50,0,32,256.149,319.678,10240,1
primary,P2,tcp-bbr,W3,50,0,30,293.677,338.144,10240,1
primary,P2,quic,W3,50,0,37,367.533,374.0,10240,1
primary,P2,tcp-bbr,W3,50,0,9,274.766,282.561,10240,1
primary,P2,tcp-cubic,W3,50,0,4,221.846,224.799,10240,1
primary,P2,quic,W3,50,0,6,389.48,390.131,10240,1
primary,P2,tcp-cubic,W3,50,0,1,308.089,328.657,10240,1
primary,P2,tcp-cubic,W3,50,0,29,228.081,235.029,10240,1
primary,P2,quic,W3,50,0,27,465.653,471.524,10240,1
primary,P2,quic,W3,50,0,33,490.938,491.037,10240,1
primary,P2,tcp-cubic,W3,50,0,0,252.507,270.575,10240,1
primary,P2,tcp-cubic,W3,50,0,5,241.554,241.663,10240,1
primary,P2,quic,W3,50,0,10,387.086,387.178,10240,1
primary,P2,quic,W3,50,0,26,190.111,190.195,10240,1
primary,P2,tcp-bbr,W3,50,0,22,328.717,328.809,10240,1
primary,P2,quic,W3,50,0,47,556.258,556.35,10240,1
primary,P2,tcp-cubic,W3,50,0,30,427.735,478.25,10240,1
primary,P2,tcp-cubic,W3,50,0,31,294.676,317.093,10240,1
primary,P2,tcp-bbr,W3,50,0,6,258.352,259.256,10240,1
primary,P2,tcp-bbr,W3,50,0,2,399.692,399.987,10240,1
primary,P2,tcp-bbr,W3,50,0,4,253.735,343.013,10240,1
primary,P2,tcp-cubic,W3,50,0,39,576.09,576.163,10240,1
primary,P2,tcp-bbr,W3,50,0,7,567.415,673.245,10240,1
primary,P2,tcp-bbr,W3,50,0,23,626.69,670.864,10240,1
primary,P2,tcp-bbr,W3,50,0,19,351.34,352.086,10240,1
primary,P2,quic,W3,50,0,2,229.662,229.754,10240,1
primary,P2,quic,W3,50,0,15,144.13,144.232,10240,1
primary,P2,quic,W3,50,0,18,184.537,184.638,10240,1
primary,P2,tcp-cubic,W3,50,0,2,219.077,231.015,10240,1
primary,P2,tcp-cubic,W3,50,0,47,227.257,248.59,10240,1
primary,P2,tcp-bbr,W3,50,0,27,217.766,223.495,10240,1
primary,P2,tcp-bbr,W3,50,0,17,253.557,253.618,10240,1
primary,P2,quic,W3,50,0,20,339.089,478.97,10240,1
primary,P2,tcp-cubic,W3,50,0,33,230.361,241.045,10240,1
primary,P2,quic,W3,50,0,22,394.726,396.641,10240,1
primary,P2,tcp-bbr,W3,50,0,11,387.595,389.007,10240,1
primary,P2,tcp-bbr,W3,50,0,40,474.849,476.475,10240,1
primary,P2,tcp-bbr,W3,50,0,37,240.576,240.78,10240,1
primary,P2,quic,W3,50,0,7,172.522,175.186,10240,1
primary,P2,quic,W3,50,0,23,176.998,177.085,10240,1
primary,P2,quic,W3,50,0,1,154.051,154.133,10240,1
primary,P2,quic,W3,50,0,21,171.763,171.846,10240,1
primary,P2,tcp-cubic,W3,50,0,40,241.349,243.584,10240,1
primary,P2,quic,W3,50,0,43,366.209,368.355,10240,1
primary,P2,quic,W3,50,0,14,470.003,470.09,10240,1
primary,P2,tcp-cubic,W3,50,0,11,272.257,282.795,10240,1
primary,P2,tcp-cubic,W3,50,0,44,256.206,257.375,10240,1
primary,P2,quic,W3,50,0,36,182.526,184.434,10240,1
primary,P2,quic,W3,50,0,0,375.605,375.69,10240,1
primary,P2,tcp-bbr,W3,50,0,0,234.759,235.716,10240,1
primary,P2,quic,W3,50,0,31,210.537,210.629,10240,1
primary,P2,tcp-cubic,W3,50,0,19,256.856,279.262,10240,1
primary,P2,quic,W3,50,0,40,493.877,541.699,10240,1
primary,P2,tcp-bbr,W3,50,0,16,439.852,455.419,10240,1
primary,P2,tcp-bbr,W3,50,0,21,397.056,397.141,10240,1
primary,P2,tcp-bbr,W3,50,0,44,341.389,341.462,10240,1
primary,P2,tcp-bbr,W3,50,0,49,383.196,389.092,10240,1
primary,P2,quic,W3,50,0,44,201.054,217.176,10240,1
primary,P2,quic,W3,50,0,29,223.33,271.894,10240,1
primary,P2,tcp-bbr,W3,50,0,41,352.529,367.8,10240,1
primary,P2,quic,W3,50,0,46,228.308,228.405,10240,1
primary,P2,tcp-bbr,W3,50,0,38,234.662,279.873,10240,1
primary,P2,quic,W3,50,0,13,485.46,485.543,10240,1
primary,P2,tcp-bbr,W3,50,0,18,268.646,307.178,10240,1
primary,P2,quic,W3,50,0,17,315.219,315.304,10240,1
primary,P2,quic,W3,50,0,4,420.449,422.512,10240,1
primary,P2,tcp-cubic,W3,50,0,43,253.982,254.986,10240,1
primary,P2,quic,W3,50,0,35,432.369,432.452,10240,1
primary,P2,tcp-bbr,W3,50,0,26,321.942,345.208,10240,1
primary,P2,tcp-bbr,W3,50,0,29,376.367,381.758,10240,1
primary,P2,tcp-cubic,W3,50,0,32,474.548,498.353,10240,1
primary,P2,tcp-bbr,W3,50,0,15,366.282,366.336,10240,1
primary,P2,quic,W3,50,0,32,197.147,284.139,10240,1
primary,P2,tcp-cubic,W3,50,0,24,305.359,342.672,10240,1
primary,P2,tcp-bbr,W3,50,0,20,379.879,379.962,10240,1
primary,P2,tcp-bbr,W3,50,0,35,365.742,382.222,10240,1
primary,P2,quic,W3,50,0,16,184.632,184.722,10240,1
primary,P2,quic,W3,50,0,12,453.358,454.332,10240,1
primary,P2,tcp-cubic,W3,50,0,38,364.719,366.422,10240,1
primary,P2,tcp-bbr,W3,50,0,33,343.413,422.021,10240,1
primary,P2,quic,W3,50,0,5,502.726,503.527,10240,1
primary,P2,tcp-bbr,W3,50,0,48,258.553,259.393,10240,1
