block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P1,tcp-bbr,W3,50,0,34,333.498,364.661,10240,1
primary,P1,tcp-bbr,W3,50,0,32,303.539,312.468,10240,1
primary,P1,tcp-bbr,W3,50,0,33,253.382,255.155,10240,1
primary,P1,quic,W3,50,0,24,332.054,334.793,10240,1
primary,P1,tcp-cubic,W3,50,0,32,246.083,246.272,10240,1
primary,P1,tcp-bbr,W3,50,0,36,425.207,441.19,10240,1
primary,P1,tcp-cubic,W3,50,0,43,328.03,328.12,10240,1
primary,P1,tcp-bbr,W3,50,0,22,235.874,276.076,10240,1
primary,P1,tcp-bbr,W3,50,0,2,234.352,237.46,10240,1
primary,P1,tcp-bbr,W3,50,0,15,266.895,266.969,10240,1
primary,P1,quic,W3,50,0,30,328.714,336.388,10240,1
primary,P1,quic,W3,50,0,48,201.545,203.545,10240,1
primary,P1,tcp-cubic,W3,50,0,16,247.322,256.929,10240,1
primary,P1,tcp-cubic,W3,50,0,21,254.659,287.813,10240,1
primary,P1,tcp-cubic,W3,50,0,19,244.427,254.597,10240,1
primary,P1,tcp-bbr,W3,50,0,9,223.604,239.26,10240,1
primary,P1,quic,W3,50,0,32,154.781,183.0,10240,1
primary,P1,tcp-cubic,W3,50,0,47,270.662,271.745,10240,1
primary,P1,tcp-bbr,W3,50,0,5,228.018,311.36,10240,1
primary,P1,tcp-bbr,W3,50,0,11,257.96,258.025,10240,1
primary,P1,tcp-bbr,W3,50,0,26,255.262,255.385,10240,1
primary,P1,tcp-bbr,W3,50,0,18,238.195,239.234,10240,1
primary,P1,quic,W3,50,0,28,371.889,371.971,10240,1
primary,P1,quic,W3,50,0,13,169.908,169.993,10240,1
primary,P1,tcp-bbr,W3,50,0,42,238.635,238.692,10240,1
primary,P1,tcp-cubic,W3,50,0,36,248.5,260.193,10240,1
primary,P1,tcp-bbr,W3,50,0,30,261.526,267.469,10240,1
primary,P1,tcp-cubic,W3,50,0,8,249.198,281.674,10240,1
primary,P1,quic,W3,50,0,2,443.894,444.031,10240,1
primary,P1,quic,W3,50,0,38,168.325,169.966,10240,1
primary,P1,quic,W3,50,0,1,169.364,169.435,10240,1
primary,P1,tcp-cubic,W3,50,0,7,254.59,255.582,10240,1
primary,P1,tcp-cubic,W3,50,0,17,220.11,228.27,10240,1
primary,P1,quic,W3,50,0,26,540.992,542.057,10240,1
primary,P1,quic,W3,50,0,10,382.063,382.149,10240,1
primary,P1,quic,W3,50,0,5,676.919,680.044,10240,1
primary,P1,tcp-cubic,W3,50,0,12,234.413,273.431,10240,1
primary,P1,quic,W3,50,0,23,193.466,193.547,10240,1
primary,P1,tcp-bbr,W3,50,0,35,314.124,344.448,10240,1
primary,P1,tcp-cubic,W3,50,0,30,254.103,256.113,10240,1
primary,P1,quic,W3,50,0,34,381.76,381.864,10240,1
primary,P1,quic,W3,50,0,46,176.718,176.796,10240,1
primary,P1,quic,W3,50,0,35,136.161,137.733,10240,1
primary,P1,tcp-cubic,W3,50,0,49,242.903,254.737,10240,1
primary,P1,quic,W3,50,0,41,335.861,335.954,10240,1
primary,P1,quic,W3,50,0,0,191.306,191.418,10240,1
primary,P1,tcp-cubic,W3,50,0,5,237.426,264.392,10240,1
primary,P1,tcp-cubic,W3,50,0,3,290.45,291.098,10240,1
primary,P1,quic,W3,50,0,8,372.715,372.817,10240,1
primary,P1,tcp-bbr,W3,50,0,46,249.143,249.328,10240,1
primary,P1,tcp-cubic,W3,50,0,14,222.842,229.521,10240,1
primary,P1,tcp-cubic,W3,50,0,15,341.783,372.648,10240,1
primary,P1,tcp-bbr,W3,50,0,43,236.555,258.083,10240,1
primary,P1,tcp-cubic,W3,50,0,34,443.717,443.776,10240,1
primary,P1,quic,W3,50,0,45,182.192,182.342,10240,1
primary,P1,tcp-bbr,W3,50,0,8,232.09,232.847,10240,1
primary,P1,tcp-bbr,W3,50,0,7,254.053,256.787,10240,1
primary,P1,tcp-cubic,W3,50,0,1,230.954,232.921,10240,1
primary,P1,quic,W3,50,0,33,455.055,457.278,10240,1
primary,P1,tcp-bbr,W3,50,0,37,298.137,313.386,10240,1
primary,P1,quic,W3,50,0,29,159.982,160.084,10240,1
primary,P1,quic,W3,50,0,31,187.252,189.138,10240,1
primary,P1,tcp-bbr,W3,50,0,41,199.941,206.696,10240,1
primary,P1,quic,W3,50,0,9,173.426,173.518,10240,1
